#{"t_start": 1686537948.6103165, "env_id": null}
r,l,t
-0.02,2,68.990252
-0.02,2,70.048363
0.29,11,75.384111
0.07,3,76.739345
0.36,4,78.731404
0.06,4,80.702102
-0.02,2,81.634895
-8.29,19,90.856443
-9.43,13,97.000698
0.59,21,107.203176
-22.73,38,124.795428
1.79,36,141.885775
-1.83,13,147.942271
-4.68,18,156.178272
0.16,4,158.11349
-0.05,5,160.571073
0.34,6,163.411668
-0.68,8,167.307866
-2.68,8,171.021811
-4.8,10,175.874952
-0.02,2,177.012026
-11.62,32,192.018614
0.18,2,193.028627
0.37,13,199.443737
0.18,2,200.420369
0.08,2,201.495016
-0.02,2,202.452604
0.18,2,203.507039
0.08,2,204.448491
0.07,3,205.987164
0.08,2,206.97568
0.24,6,209.757363
0.06,4,211.618984
-6.7,50,234.730983
-1.02,2,235.666581
-10.76,31,250.619002
0.37,13,257.017511
0.14,6,259.776849
0.24,6,262.642329
0.13,7,265.878196
-0.02,2,266.8493
-9.62,12,272.553362
-1.96,6,275.474673
-10.29,29,289.099007
-9.58,18,297.713837
-12.77,17,305.722488
0.29,11,310.693394
0.07,3,312.21432
-7.51,21,322.180486
-2.59,19,331.263417
-2.86,16,338.891577
-0.85,5,341.304549
-5.89,9,345.700061
-1.67,7,348.815482
0.1,10,353.525097
-0.01,1,353.973663
-0.94,4,356.056437
-1.88,8,360.027697
0.2,10,364.872262
0.11,9,369.010084
-19.22,32,384.541815
1.77,73,418.989064
-0.02,2,419.931114
0.34,6,422.586992
0.08,2,423.508027
0.66,14,430.191083
0.27,3,431.693761
0.14,6,434.465911
0.16,4,436.433461
0.35,5,438.891388
-0.04,4,440.737925
0.18,2,441.743959
0.08,2,442.784207
0.07,3,444.233406
0.15,5,446.700139
0.22,8,450.582799
-9.51,31,465.051507
-6.45,15,472.160706
-1.33,23,482.89745
0.07,3,484.371287
-0.92,2,485.331536
0.08,2,486.289193
0.07,3,487.738236
0.07,3,489.085174
0.16,4,491.092389
1.08,32,505.956665
0.06,4,507.876189
-30.19,39,522.942569
-0.02,2,523.681527
0.16,4,525.035069
0.24,6,527.059495
-0.03,3,528.082435
0.05,15,533.276223
0.29,21,540.53249
