#{"t_start": 1686537962.0097654, "env_id": null}
r,l,t
0.0,10,1214.847189
0.25,15,1220.001073
-13.8,20,1226.963377
-4.68,18,1233.14766
-9.14,24,1241.79505
-16.66,31,1252.840373
-3.0,10,1256.361456
0.09,11,1260.289438
-0.02,2,1261.047475
0.45,15,1266.130006
-2.79,19,1272.903251
0.08,2,1273.677903
0.07,3,1274.840809
8.43,27,1284.25263
0.18,2,1284.995802
-3.69,9,1288.06414
3.82,33,1299.984594
-0.01,1,1300.341291
-0.04,14,1305.330971
0.09,11,1309.215168
0.35,15,1314.440617
-1.6,20,1321.521681
-0.07,7,1324.112331
-3.73,13,1328.66149
0.07,13,1333.349168
7.71,39,1346.898803
-0.03,3,1347.973515
0.3,10,1351.512707
0.11,9,1354.805472
-37.98,58,1375.475075
0.23,7,1378.11187
-28.44,44,1393.752294
0.51,9,1396.965017
-2.99,39,1410.66886
-0.02,2,1411.41272
0.16,4,1412.833686
-7.47,37,1425.626891
0.17,3,1426.717724
1.39,21,1434.023773
0.09,1,1434.424544
1.18,22,1442.032296
0.36,4,1443.520705
0.41,9,1446.555799
1.08,22,1454.35759
0.15,5,1456.072467
-5.85,75,1482.131502
2.5,40,1496.526203
0.18,2,1497.269231
0.08,2,1498.058295
0.68,22,1505.834532
0.12,8,1508.662941
-0.03,3,1509.785687
-0.01,1,1510.196429
0.17,3,1511.232773
0.06,4,1512.642406
-0.02,2,1513.388911
0.05,5,1515.301819
0.15,5,1517.123543
0.18,2,1517.853734
0.17,3,1518.907339
0.07,3,1520.010595
0.16,4,1521.407001
0.07,3,1522.56046
0.05,5,1524.446399
0.08,2,1525.186928
0.18,2,1525.899967
0.18,2,1526.674769
0.09,1,1527.030226
0.09,1,1527.488447
-0.01,1,1527.851357
0.33,7,1530.438581
-0.67,17,1536.329758
-0.02,2,1537.057474
0.08,2,1537.765545
0.18,2,1538.548949
0.08,2,1539.32973
0.06,4,1540.86041
-0.02,2,1541.654779
0.09,1,1542.017815
-0.01,1,1542.434894
0.34,6,1544.533266
0.17,3,1545.622264
1.96,34,1557.782196
0.06,4,1559.242732
1.03,17,1565.227879
0.18,2,1565.988192
0.62,8,1568.801152
0.32,8,1571.763168
1.09,21,1579.207573
0.68,12,1583.413196
-0.02,2,1584.158068
1.42,28,1594.089571
-0.01,1,1594.4749
0.59,11,1598.31784
0.48,12,1602.642951
1.42,18,1608.958986
0.18,2,1609.694099
0.08,2,1610.402775
0.08,2,1611.178607
0.44,6,1613.411555
-0.03,3,1614.484433
0.18,12,1618.759666
0.2,10,1622.421082
0.17,3,1623.551501
0.97,23,1631.600188
-0.01,1,1631.953121
0.5,10,1635.655561
-0.92,2,1636.369318
-1.01,1,1636.754123
1.94,26,1646.057518
-5.43,43,1661.806178
0.08,2,1662.553141
0.25,5,1664.410354
1.45,25,1673.22022
0.43,7,1675.705817
2.23,37,1688.700676
0.9,20,1695.880171
-0.03,3,1696.977039
0.74,16,1702.634793
0.08,2,1703.385809
2.36,44,1719.117073
0.18,2,1719.88274
0.08,2,1720.660901
-0.02,2,1721.416581
0.18,2,1722.16223
0.15,5,1724.010307
0.09,1,1724.422642
0.05,5,1726.257131
1.69,31,1737.314379
0.06,4,1738.756771
0.09,1,1739.202495
2.97,63,1761.450805
-3.88,28,1771.579187
0.58,12,1775.760401
0.18,2,1776.499287
0.08,2,1777.319447
0.09,1,1777.673964
-0.02,2,1778.482353
0.18,2,1779.270909
0.08,2,1780.046521
-0.02,2,1780.79843
2.5,35,1793.277241
0.77,23,1801.64102
16.35,65,1824.775084
1.22,18,1831.922915
0.16,4,1833.446119
-0.02,2,1834.240601
0.07,3,1835.278359
0.32,8,1838.035816
-22.3,45,1854.807459
0.1,10,1858.391215
-2.59,9,1861.553794
-1.08,38,1875.217184
-15.48,28,1885.291515
0.22,8,1888.203439
0.08,2,1888.997935
0.09,1,1889.373832
7.02,38,1902.756572
-0.03,3,1903.844671
10.53,57,1924.380671
0.17,3,1925.575968
0.06,4,1927.076467
0.44,16,1932.704295
-12.35,25,1941.716733
-0.02,2,1942.530372
-0.03,3,1943.609986
0.08,2,1944.320451
-0.02,2,1945.080863
-0.02,2,1945.791304
-0.02,2,1946.530841
0.07,3,1947.65077
0.09,1,1948.083532
0.08,2,1948.793898
-0.03,3,1949.937394
0.07,3,1950.982186
0.08,2,1951.692766
-0.01,1,1952.129351
0.18,2,1952.833315
0.14,6,1955.037778
-0.02,2,1955.784058
0.17,3,1956.922743
0.35,5,1958.747325
0.24,6,1961.026153
-15.0,30,1971.632987
-0.01,1,1972.038973
0.09,1,1972.422656
0.08,2,1973.223195
0.18,2,1973.997457
0.03,7,1976.490821
0.17,3,1977.614742
0.08,2,1978.263654
-0.03,3,1979.438694
-0.02,2,1980.207363
0.08,2,1980.983594
0.01,9,1984.070388
0.08,2,1984.779848
-0.01,1,1985.188796
0.08,2,1985.878549
-0.02,2,1986.656089
0.08,2,1987.400004
0.09,1,1987.768078
0.09,1,1988.241346
-0.03,3,1989.357208
0.09,1,1989.852892
0.17,3,1990.956633
0.08,2,1991.70241
0.09,1,1992.099195
0.25,5,1993.967952
-0.02,2,1994.710833
0.18,2,1995.528409
0.18,2,1996.268531
-0.01,1,1996.630656
0.15,5,1998.411457
0.07,3,1999.484374
0.08,2,2000.216981
-0.04,4,2001.649401
0.08,2,2002.36865
-0.01,1,2002.79624
1.68,42,2017.616854
1.44,26,2027.083915
1.3,20,2034.415738
0.09,1,2034.808898
0.08,2,2035.589199
0.09,1,2035.96438
0.48,12,2040.359217
0.22,8,2043.186839
0.09,1,2043.49825
1.27,23,2051.807832
0.28,12,2056.161922
-0.68,28,2066.124975
0.92,18,2072.628615
0.16,4,2074.015044
0.44,6,2076.239707
0.04,6,2078.437865
0.34,6,2080.555736
0.07,3,2081.624107
0.8,20,2088.993607
1.12,18,2095.523066
0.47,13,2100.212871
0.07,3,2101.366182
0.33,7,2103.998458
-0.01,1,2104.348543
2.19,51,2122.990342
-0.03,3,2124.276871
0.08,2,2125.078044
0.06,4,2126.530555
0.08,2,2127.440542
0.08,2,2128.301171
0.09,1,2128.694913
0.36,4,2130.177681
0.18,2,2130.932826
0.08,2,2131.787491
0.24,6,2134.165498
0.08,2,2134.996949
-7.98,38,2149.668247
-9.7,30,2161.513022
-0.02,2,2162.328772
-7.71,51,2181.11934
0.09,1,2181.46993
0.08,2,2182.236794
-0.01,1,2182.571564
-0.01,1,2183.079047
0.18,2,2183.831695
0.03,7,2186.432642
-0.01,11,2190.495863
-61.54,99,2226.962817
1.02,18,2233.457366
0.5,10,2237.264166
0.77,13,2242.054341
-0.02,2,2242.82566
0.61,9,2246.226153
0.51,9,2249.494919
1.43,27,2259.475096
-0.01,1,2259.834473
0.24,6,2262.067
0.76,14,2267.311438
-0.01,1,2267.68853
-2.01,31,2278.847533
0.32,8,2281.67624
1.32,28,2291.532134
1.12,18,2298.062756
0.07,3,2299.140645
0.24,6,2301.316878
-0.01,1,2301.722969
0.18,2,2302.539262
0.13,7,2305.052116
0.27,3,2306.16759
-0.02,2,2306.876269
0.08,2,2307.606337
-0.02,2,2308.380971
0.18,2,2309.177803
-0.02,2,2309.902789
0.18,2,2310.636818
0.17,3,2311.719292
0.15,5,2313.538792
0.18,2,2314.267812
0.18,2,2314.980782
0.07,3,2316.151103
0.17,3,2317.327432
0.18,2,2318.029734
-0.02,2,2318.774886
0.25,5,2320.655929
0.36,4,2322.227626
-0.02,2,2322.92651
-0.02,2,2323.630497
0.15,5,2325.459348
2.12,48,2343.008001
-0.01,1,2343.399539
0.87,13,2348.223651
0.16,4,2349.750122
-1.08,58,2370.599164
-0.02,2,2371.349702
0.06,4,2372.806813
0.42,8,2375.707349
0.77,13,2380.606001
-0.01,1,2381.010786
0.23,7,2383.464186
1.09,21,2391.256897
0.64,16,2397.114031
0.09,1,2397.535931
1.62,28,2407.570157
0.08,2,2408.27623
0.08,2,2409.022827
0.42,8,2412.036672
-0.02,2,2412.81872
0.08,2,2413.56884
0.25,5,2415.514678
0.78,12,2419.977678
1.59,31,2431.383477
0.08,2,2432.200758
0.08,2,2432.928097
0.25,5,2434.746625
0.09,1,2435.112507
0.59,11,2439.151462
