#{"t_start": 1686838952.0187104, "env_id": null}
r,l,t
1.7,1,91.5393
2.7,1,92.37932
2.8,1,93.159042
2.7,1,93.89129
2.7,1,94.648202
2.7,1,95.462268
2.7,1,96.308371
2.7,1,97.167394
2.7,1,98.0009
2.7,1,98.806872
2.7,1,99.54666
2.7,1,100.324686
2.7,1,101.105983
2.7,1,101.868513
2.7,1,102.665135
2.7,1,103.511422
2.7,1,104.316977
2.7,1,105.012902
2.7,1,105.71907
2.8,1,106.455265
2.7,1,107.161642
2.7,1,107.857275
2.7,1,108.540671
2.7,1,109.222105
2.7,1,109.89929
2.7,1,110.605232
2.7,1,111.32496
2.7,1,112.028541
2.7,1,112.708258
2.7,1,113.391219
2.7,1,114.056417
2.7,1,114.762414
2.7,1,115.44059
2.7,1,116.101606
2.7,1,116.798409
2.7,1,117.471618
2.8,1,118.18472
2.7,1,118.849263
2.7,1,119.546744
2.7,1,120.231625
2.7,1,120.92833
2.7,1,121.59355
2.7,1,122.28123
2.7,1,122.975155
2.7,1,123.646917
2.7,1,124.331115
2.7,1,125.001407
2.7,1,125.670769
2.7,1,126.360714
2.7,1,127.081272
2.7,1,127.749045
2.7,1,128.455727
2.7,1,129.138679
2.7,1,129.802897
2.8,1,130.482683
2.7,1,131.145956
2.7,1,131.807785
2.7,1,132.508332
2.7,1,133.202741
2.7,1,133.97313
2.7,1,134.739836
2.7,1,135.442074
2.7,1,136.113774
2.7,1,136.815455
2.8,1,140.21333
2.7,1,140.614514
2.7,1,140.992352
2.7,1,141.395651
2.7,1,141.794926
2.7,1,142.180639
2.7,1,142.597581
2.7,1,142.994976
2.7,1,143.4069
2.7,1,143.838784
8.1,3,145.021748
4.5,2,145.789849
5.4,2,146.578537
4.5,2,147.353675
5.4,2,148.167494
2.7,1,148.558565
8.1,3,149.762797
5.4,2,150.548592
5.4,2,151.409904
2.7,1,151.801526
5.4,2,152.591384
5.4,2,153.39844
5.4,2,154.211794
7.1,3,155.37542
7.1,3,156.566201
7.2,3,157.725467
4.5,2,158.529598
18.9,7,161.307482
4.4,2,162.094255
5.4,2,162.934639
9.8,4,164.519988
2.7,1,164.968837
15.3,6,167.376551
5.4,2,168.161468
20.0,10,172.102658
4.5,2,172.908046
5.4,2,173.720163
5.4,2,174.580243
5.4,2,175.415185
2.7,1,175.828891
2.7,1,176.256359
4.5,2,177.03367
2.7,1,177.450615
2.7,1,177.856174
