#{"t_start": 1686548491.1225953, "env_id": null}
r,l,t
-0.04,4,2.596856
-2.04,4,5.61123
0.05,5,8.211879
-0.04,4,10.37591
-0.04,4,12.55532
-2.03,3,14.658716
-0.02,2,15.819277
-0.06,6,19.456758
0.06,4,21.51593
0.08,2,22.434182
-0.02,2,23.975515
0.08,2,24.833916
-0.03,3,26.585238
-0.02,2,27.618077
-0.05,5,30.220517
0.15,5,32.767891
-0.05,5,36.245039
-0.01,1,36.865361
-0.02,2,38.029793
-1.02,2,39.236088
0.07,3,41.118458
0.06,4,43.389815
0.05,5,46.202848
-2.94,4,48.894489
-0.04,4,52.158399
0.53,7,56.236695
-2.94,4,58.529438
-0.03,3,60.173306
-0.02,2,61.55112
-4.05,5,65.088908
0.06,4,68.165163
-0.02,2,69.262975
-0.03,3,71.634946
-0.03,3,73.456167
-1.02,2,74.255477
0.09,1,74.862512
0.07,3,76.343553
4.04,6,79.469035
0.07,3,81.43838
0.05,5,84.153686
-1.95,5,87.37759
0.07,3,89.985256
-1.02,2,91.312691
-0.02,2,92.413168
-0.02,2,93.493287
0.06,4,95.552438
-0.05,5,97.832901
-0.04,4,100.104517
0.05,5,103.369811
0.55,5,106.256074
-4.31,6,111.518343
-0.06,6,115.903943
0.06,4,118.189125
0.19,6,123.102082
-2.3,5,126.980048
-2.11,6,131.749877
-0.92,2,132.847093
0.31,4,135.155051
-1.06,6,139.245222
0.2,5,142.465722
0.06,4,144.773812
-0.02,2,145.919573
-0.03,3,147.500662
-0.03,3,149.330268
-0.02,2,150.222903
-0.05,5,152.921631
-3.04,4,155.620605
-0.02,2,156.526329
0.21,4,159.228687
-0.05,5,163.112816
-3.55,5,165.594861
-3.05,5,168.430579
-3.05,5,170.955871
-0.04,4,173.053438
-0.03,3,174.85133
-0.03,3,176.391244
-1.85,5,179.078035
0.78,7,182.822826
-0.04,4,184.940814
-2.94,4,187.034321
-0.02,2,188.143698
-0.03,3,189.639882
0.21,4,191.623777
-2.29,4,193.8448
-0.93,3,196.747678
-0.02,2,197.63184
-0.94,4,201.175596
0.56,4,205.033883
0.08,2,207.807523
-2.03,3,210.352039
