#{"t_start": 1686548242.8680718, "env_id": null}
r,l,t
-2.02,2,1.320828
-10.1,10,7.315648
-8.08,8,12.067669
-6.97,7,15.967419
-11.01,11,22.172003
-4.04,4,24.272493
-4.04,4,26.408171
-4.04,4,28.331112
-6.06,6,31.559264
-2.93,3,33.130829
-2.02,2,34.177737
-5.05,5,36.750491
-6.97,7,40.354339
-6.06,6,43.567315
-3.94,4,45.558318
-4.04,4,47.563628
-3.94,4,49.655077
-5.05,5,52.259664
-4.95,5,54.889168
-3.94,4,56.809787
-3.94,4,59.122452
-3.94,4,61.20848
-5.05,5,63.885897
-4.04,4,66.048757
-3.94,4,68.070103
-3.03,3,69.796106
-2.02,2,70.679482
-5.05,5,73.181849
-4.04,4,75.326743
-4.95,5,77.760026
-1.92,2,78.969015
-2.93,3,80.428913
-1.92,2,81.50512
-2.02,2,82.495415
-3.94,4,84.533723
-2.93,3,86.12132
-3.03,3,87.546467
-3.03,3,89.296198
-3.03,3,91.163482
-2.02,2,91.914878
-4.04,4,94.047766
-3.94,4,96.124006
-4.04,4,98.09785
-3.03,3,99.585544
-2.02,2,100.434302
-3.03,3,102.078731
-3.94,4,104.199998
-1.92,2,105.559641
-3.03,3,107.100327
-2.83,3,108.908839
-2.02,2,110.286335
-3.94,4,113.164971
-5.96,6,117.249361
-2.02,2,118.894104
-3.03,3,120.75944
-3.94,4,123.428567
-3.94,4,126.455807
-2.02,2,127.722061
-3.03,3,130.026965
-2.93,3,132.186704
-5.06,6,135.445534
-3.03,3,137.608424
-4.04,4,140.386477
-5.05,5,143.524991
-3.84,4,146.532632
-2.02,2,148.153435
-2.02,2,149.612857
-4.04,4,152.439048
-3.94,4,155.156699
-4.95,5,158.151989
-3.94,4,160.818093
-3.03,3,162.33908
-1.01,1,162.917361
-1.92,2,163.848525
-7.07,7,168.791108
-2.02,2,170.109921
-2.02,2,171.145734
-5.96,6,174.876945
-5.05,5,178.285037
-5.96,6,181.826953
-2.02,2,183.01926
-2.02,2,183.93401
-3.94,4,186.906539
-6.06,6,190.317294
-6.06,6,193.91458
-8.08,8,199.247033
-2.02,2,200.700264
-3.03,3,202.355017
-5.05,5,204.945109
-3.03,3,206.537131
-2.02,2,207.511568
-3.84,4,209.780363
-3.94,4,212.552543
-4.85,5,215.080785
-3.84,4,217.431922
-4.04,4,220.312967
-3.94,4,222.714066
-2.02,2,223.480348
-4.95,5,226.09058
-3.94,4,228.387446
-2.93,3,230.447801
-2.02,2,231.464873
-2.02,2,232.539416
-3.03,3,234.733244
-3.84,4,237.588225
-4.04,4,240.442303
-4.04,4,243.504841
-2.02,2,245.044237
-2.02,2,246.404151
-4.04,4,248.198347
-5.05,5,251.722465
-3.03,3,254.357165
-3.03,3,255.893278
-4.04,4,258.114414
-3.94,4,260.21789
-2.02,2,261.358798
-2.02,2,262.487987
-3.94,4,265.276465
-5.05,5,268.318055
-4.04,4,270.404554
-3.03,3,272.512875
-2.02,2,273.431639
-4.95,5,275.884135
-5.96,6,279.126972
-2.02,2,280.312483
-2.02,2,281.532928
-5.05,5,285.071843
-2.93,3,286.851089
-3.03,3,288.403334
-1.92,2,290.129307
-3.03,3,291.62911
-3.94,4,293.870723
-2.02,2,295.414497
-3.03,3,297.234332
-4.04,4,300.34289
-2.93,3,302.502357
-2.02,2,303.419382
-3.94,4,305.572336
-2.02,2,306.940202
-1.92,2,307.971214
-4.95,5,311.621418
-4.04,4,314.516755
-3.03,3,316.819709
-2.02,2,317.940552
-4.04,4,320.703784
-1.92,2,321.759726
-4.04,4,323.909603
-1.92,2,324.999787
-2.93,3,326.457017
-5.05,5,329.240988
-4.04,4,331.602197
-2.02,2,332.361697
-4.04,4,335.051073
-1.92,2,337.361487
-2.02,2,338.564157
-3.94,4,340.754879
-5.86,6,343.84468
-5.05,5,346.374871
-3.94,4,348.513187
-1.01,1,349.291211
-3.03,3,351.618796
-7.07,7,356.593297
-3.94,4,359.826716
-3.03,3,362.410638
-2.02,2,363.976899
-2.02,2,365.055171
-3.94,4,367.986839
-4.04,4,371.55468
-3.03,3,374.13125
-2.02,2,375.835012
-2.02,2,377.573973
-2.93,3,380.018515
-2.93,3,381.777234
-2.02,2,382.98906
-2.83,3,384.867925
-2.02,2,385.628394
-5.05,5,389.753179
-4.95,5,392.456833
-2.93,3,394.154929
-1.92,2,395.240803
-2.02,2,396.338561
-3.03,3,397.931157
-2.02,2,399.205741
-2.02,2,400.425927
-4.04,4,403.068868
-4.04,4,405.450025
-5.05,5,409.278751
-2.02,2,411.107813
-3.03,3,412.753082
-5.96,6,416.252318
-4.04,4,418.597406
-4.04,4,420.613113
-4.04,4,423.146639
-2.02,2,424.519203
-3.03,3,426.060984
-3.03,3,427.875319
-3.03,3,429.322008
-5.05,5,431.970612
-2.93,3,433.836442
-3.03,3,435.363426
-2.02,2,436.637226
-2.93,3,438.040921
-3.94,4,440.573735
-3.03,3,442.906284
-2.02,2,444.59433
-4.04,4,447.005409
-2.02,2,448.108583
-4.04,4,451.927928
-3.94,4,456.203269
-2.02,2,458.362525
-3.94,4,462.737932
